,experiment,hour,device_make,yes,day,browser_Chrome,browser_Chrome Mobile,browser_Chrome Mobile WebView,browser_Chrome Mobile iOS,browser_Facebook,browser_Mobile Safari,browser_Mobile Safari UI/WKWebView,browser_Samsung Internet
2,1,12,4,0,3,0,0,1,0,0,0,0,0
16,1,8,13,1,2,0,1,0,0,0,0,0,0
20,1,22,13,0,1,0,1,0,0,0,0,0,0
23,0,18,43,1,6,0,0,0,0,1,0,0,0
27,0,7,13,0,0,0,1,0,0,0,0,0,0
39,1,12,13,0,0,0,1,0,0,0,0,0,0
45,0,7,13,1,0,0,1,0,0,0,0,0,0
46,1,20,19,0,3,0,0,1,0,0,0,0,0
48,0,7,13,0,0,0,1,0,0,0,0,0,0
56,1,6,13,0,0,0,1,0,0,0,0,0,0
62,0,7,24,0,0,0,0,0,0,1,0,0,0
65,1,5,65,1,4,0,0,0,0,1,0,0,0
80,1,13,25,0,4,0,0,1,0,0,0,0,0
89,1,20,13,1,3,0,1,0,0,0,0,0,0
95,1,13,13,0,6,0,1,0,0,0,0,0,0
99,0,12,87,0,1,0,0,1,0,0,0,0,0
100,0,8,13,1,2,0,1,0,0,0,0,0,0
101,0,7,42,0,0,0,0,0,0,0,0,0,1
109,1,22,13,0,4,0,1,0,0,0,0,0,0
118,0,13,64,1,4,0,0,0,0,1,0,0,0
128,1,3,76,1,2,0,0,1,0,0,0,0,0
135,1,11,13,0,3,0,1,0,0,0,0,0,0
141,1,19,13,0,0,0,1,0,0,0,0,0,0
144,1,12,13,1,3,0,0,1,0,0,0,0,0
157,0,7,13,1,5,0,1,0,0,0,0,0,0
160,0,7,72,0,0,0,0,0,0,1,0,0,0
162,0,7,5,1,0,0,0,0,0,1,0,0,0
192,1,1,13,1,4,0,1,0,0,0,0,0,0
201,0,10,13,1,6,0,1,0,0,0,0,0,0
223,1,0,13,0,3,0,0,1,0,0,0,0,0
225,1,13,66,0,4,0,0,0,0,0,0,0,1
226,0,11,13,1,2,0,1,0,0,0,0,0,0
240,0,15,13,0,6,0,1,0,0,0,0,0,0
241,1,13,13,1,6,0,0,1,0,0,0,0,0
244,1,20,13,1,6,0,1,0,0,0,0,0,0
249,0,7,13,1,0,0,1,0,0,0,0,0,0
253,0,11,13,0,3,0,1,0,0,0,0,0,0
258,1,20,68,0,3,0,0,0,0,1,0,0,0
259,1,17,94,0,5,0,0,0,0,0,0,0,1
267,1,7,13,1,0,0,1,0,0,0,0,0,0
282,1,13,13,1,6,0,1,0,0,0,0,0,0
292,1,13,13,1,6,0,1,0,0,0,0,0,0
299,1,11,103,0,4,0,0,0,0,1,0,0,0
300,0,7,13,0,0,0,1,0,0,0,0,0,0
301,1,14,13,1,6,0,1,0,0,0,0,0,0
305,1,14,13,1,3,0,1,0,0,0,0,0,0
310,0,2,68,1,3,0,0,0,0,1,0,0,0
323,1,19,68,0,2,0,0,1,0,0,0,0,0
335,0,7,13,0,0,0,1,0,0,0,0,0,0
352,0,6,13,1,6,0,1,0,0,0,0,0,0
355,1,15,13,0,6,0,1,0,0,0,0,0,0
356,0,22,54,0,1,0,0,0,0,1,0,0,0
357,0,7,43,1,0,0,0,1,0,0,0,0,0
358,1,14,47,1,6,0,0,1,0,0,0,0,0
362,0,7,21,1,0,0,1,0,0,0,0,0,0
366,1,14,13,0,6,0,0,1,0,0,0,0,0
393,1,0,46,1,2,0,0,1,0,0,0,0,0
401,1,17,13,1,3,0,1,0,0,0,0,0,0
404,1,8,13,0,0,0,1,0,0,0,0,0,0
415,1,12,66,0,0,0,0,0,0,1,0,0,0
418,0,7,66,1,0,0,0,1,0,0,0,0,0
422,0,7,1,0,0,0,0,0,0,1,0,0,0
430,1,8,13,1,6,0,1,0,0,0,0,0,0
434,0,12,13,0,4,0,1,0,0,0,0,0,0
438,0,7,13,1,0,0,1,0,0,0,0,0,0
439,1,0,54,0,4,0,0,0,0,0,0,0,1
447,1,6,13,0,4,0,1,0,0,0,0,0,0
466,0,7,33,0,0,0,0,0,0,1,0,0,0
471,1,22,13,0,4,0,1,0,0,0,0,0,0
475,0,7,72,0,0,0,0,0,0,0,0,0,1
484,1,20,48,1,4,0,0,0,0,0,0,0,1
486,0,7,13,0,0,0,1,0,0,0,0,0,0
488,0,7,68,1,0,0,0,0,0,0,0,0,1
510,0,7,13,0,0,0,1,0,0,0,0,0,0
514,0,0,13,1,3,0,1,0,0,0,0,0,0
527,0,4,13,1,4,0,1,0,0,0,0,0,0
529,0,7,13,0,3,0,1,0,0,0,0,0,0
549,1,6,13,1,4,0,0,1,0,0,0,0,0
554,0,4,13,0,0,0,1,0,0,0,0,0,0
556,0,14,54,0,2,0,0,0,0,1,0,0,0
558,0,15,66,1,6,0,0,0,0,1,0,0,0
559,1,2,13,0,0,0,1,0,0,0,0,0,0
563,0,17,13,1,5,0,1,0,0,0,0,0,0
564,0,5,72,1,0,0,0,0,0,0,0,0,1
587,1,22,44,1,0,0,0,1,0,0,0,0,0
633,0,12,51,0,0,0,0,0,0,0,0,0,1
637,0,23,13,0,0,0,1,0,0,0,0,0,0
642,0,7,64,1,0,0,0,0,0,1,0,0,0
650,1,9,13,0,6,0,1,0,0,0,0,0,0
652,1,23,13,1,0,0,0,1,0,0,0,0,0
653,0,7,13,0,0,0,1,0,0,0,0,0,0
654,1,7,13,1,6,0,0,1,0,0,0,0,0
658,0,7,13,0,4,0,1,0,0,0,0,0,0
663,1,0,13,0,0,0,1,0,0,0,0,0,0
668,1,9,13,1,0,0,1,0,0,0,0,0,0
671,0,7,13,1,0,0,1,0,0,0,0,0,0
682,0,7,13,0,0,0,1,0,0,0,0,0,0
685,0,2,13,0,3,0,1,0,0,0,0,0,0
689,1,8,13,0,4,0,1,0,0,0,0,0,0
