,experiment,hour,device_make,yes,day,platform_os_5.0,platform_os_6.0
2,1,12,4,0,3,0,1
16,1,8,13,1,2,0,1
20,1,22,13,0,1,0,1
23,0,18,43,1,6,0,1
27,0,7,13,0,0,0,1
39,1,12,13,0,0,0,1
45,0,7,13,1,0,0,1
46,1,20,19,0,3,0,1
48,0,7,13,0,0,0,1
56,1,6,13,0,0,0,1
62,0,7,24,0,0,0,1
65,1,5,65,1,4,0,1
80,1,13,25,0,4,0,1
89,1,20,13,1,3,0,1
95,1,13,13,0,6,0,1
99,0,12,87,0,1,0,1
100,0,8,13,1,2,0,1
101,0,7,42,0,0,0,1
109,1,22,13,0,4,0,1
118,0,13,64,1,4,0,1
128,1,3,76,1,2,0,1
135,1,11,13,0,3,0,1
141,1,19,13,0,0,0,1
144,1,12,13,1,3,0,1
157,0,7,13,1,5,0,1
160,0,7,72,0,0,0,1
162,0,7,5,1,0,0,1
192,1,1,13,1,4,0,1
201,0,10,13,1,6,0,1
223,1,0,13,0,3,0,1
225,1,13,66,0,4,0,1
226,0,11,13,1,2,0,1
240,0,15,13,0,6,0,1
241,1,13,13,1,6,0,1
244,1,20,13,1,6,0,1
249,0,7,13,1,0,0,1
253,0,11,13,0,3,0,1
258,1,20,68,0,3,0,1
259,1,17,94,0,5,0,1
267,1,7,13,1,0,0,1
282,1,13,13,1,6,0,1
292,1,13,13,1,6,0,1
299,1,11,103,0,4,0,1
300,0,7,13,0,0,0,1
301,1,14,13,1,6,0,1
305,1,14,13,1,3,0,1
310,0,2,68,1,3,0,1
323,1,19,68,0,2,0,1
335,0,7,13,0,0,0,1
352,0,6,13,1,6,0,1
355,1,15,13,0,6,0,1
356,0,22,54,0,1,0,1
357,0,7,43,1,0,0,1
358,1,14,47,1,6,0,1
362,0,7,21,1,0,0,1
366,1,14,13,0,6,0,1
393,1,0,46,1,2,0,1
401,1,17,13,1,3,0,1
404,1,8,13,0,0,0,1
415,1,12,66,0,0,0,1
418,0,7,66,1,0,0,1
422,0,7,1,0,0,0,1
430,1,8,13,1,6,0,1
434,0,12,13,0,4,0,1
438,0,7,13,1,0,0,1
439,1,0,54,0,4,0,1
447,1,6,13,0,4,0,1
466,0,7,33,0,0,0,1
471,1,22,13,0,4,0,1
475,0,7,72,0,0,0,1
484,1,20,48,1,4,0,1
486,0,7,13,0,0,0,1
488,0,7,68,1,0,0,1
510,0,7,13,0,0,0,1
514,0,0,13,1,3,0,1
527,0,4,13,1,4,0,1
529,0,7,13,0,3,0,1
549,1,6,13,1,4,0,1
554,0,4,13,0,0,0,1
556,0,14,54,0,2,0,1
558,0,15,66,1,6,0,1
559,1,2,13,0,0,0,1
563,0,17,13,1,5,0,1
564,0,5,72,1,0,0,1
587,1,22,44,1,0,0,1
633,0,12,51,0,0,0,1
637,0,23,13,0,0,0,1
642,0,7,64,1,0,0,1
650,1,9,13,0,6,0,1
652,1,23,13,1,0,0,1
653,0,7,13,0,0,0,1
654,1,7,13,1,6,0,1
658,0,7,13,0,4,0,1
